time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,sunshine_duration,city,latitude,longitude
2023-09-07,28.7,14.2,20.8,0.0,12.6,38748.93,Medellín,6.2518,-75.5636
2023-09-08,29.1,14.7,21.2,0.0,13.8,41462.71,Medellín,6.2518,-75.5636
2023-09-09,29.0,17.4,21.4,1.4,10.2,33738.54,Medellín,6.2518,-75.5636
2023-09-10,28.3,16.5,20.5,4.2,12.6,36129.79,Medellín,6.2518,-75.5636
2023-09-11,29.1,17.0,21.5,0.1,15.4,37415.75,Medellín,6.2518,-75.5636
2023-09-12,29.8,17.0,22.1,0.7,12.6,41387.34,Medellín,6.2518,-75.5636
2023-09-13,29.0,15.5,21.2,1.1,14.6,39618.2,Medellín,6.2518,-75.5636
2023-09-14,29.4,15.5,21.3,0.1,13.7,39147.52,Medellín,6.2518,-75.5636
2023-09-15,27.8,15.8,21.2,0.3,17.3,38490.92,Medellín,6.2518,-75.5636
2023-09-16,29.2,16.4,21.8,0.0,13.3,38460.5,Medellín,6.2518,-75.5636
2023-09-17,29.6,16.4,21.6,0.0,14.1,35068.99,Medellín,6.2518,-75.5636
2023-09-18,29.1,15.8,21.0,0.4,16.8,38873.86,Medellín,6.2518,-75.5636
2023-09-19,28.9,15.6,21.1,0.0,15.6,38839.75,Medellín,6.2518,-75.5636
2023-09-20,28.7,14.7,20.9,0.0,14.6,39079.39,Medellín,6.2518,-75.5636
2023-09-21,29.8,13.6,21.2,0.0,14.3,40554.82,Medellín,6.2518,-75.5636
2023-09-22,30.8,17.6,22.5,0.5,11.9,38828.5,Medellín,6.2518,-75.5636
2023-09-23,29.6,15.4,20.4,7.3,10.3,37156.44,Medellín,6.2518,-75.5636
2023-09-24,30.0,15.4,20.5,7.3,7.7,25660.22,Medellín,6.2518,-75.5636
2023-09-25,29.2,16.2,21.4,0.3,9.7,38175.48,Medellín,6.2518,-75.5636
2023-09-26,29.3,17.0,21.5,0.8,11.2,33872.35,Medellín,6.2518,-75.5636
2023-09-27,27.8,17.7,21.2,2.0,8.8,27690.86,Medellín,6.2518,-75.5636
2023-09-28,27.9,16.1,20.8,8.4,7.1,36868.1,Medellín,6.2518,-75.5636
2023-09-29,28.9,15.1,20.9,0.5,12.6,36144.75,Medellín,6.2518,-75.5636
2023-09-30,30.2,17.0,22.5,0.2,15.9,34297.23,Medellín,6.2518,-75.5636
2023-10-01,30.2,16.9,22.0,0.3,12.7,39412.71,Medellín,6.2518,-75.5636
2023-10-02,28.1,17.2,21.1,9.7,9.0,31881.5,Medellín,6.2518,-75.5636
2023-10-03,28.7,16.6,20.5,5.3,7.1,22978.38,Medellín,6.2518,-75.5636
2023-10-04,22.7,16.5,19.0,15.1,5.2,5016.43,Medellín,6.2518,-75.5636
2023-10-05,25.2,14.9,19.5,13.5,7.4,34405.97,Medellín,6.2518,-75.5636
2023-10-06,25.6,15.2,19.7,8.0,6.5,32030.84,Medellín,6.2518,-75.5636
2023-10-07,28.7,16.9,20.9,14.9,7.4,31759.66,Medellín,6.2518,-75.5636
2023-10-08,25.7,16.0,20.0,2.5,9.3,22855.52,Medellín,6.2518,-75.5636
2023-10-09,27.3,16.7,20.8,8.3,6.5,28953.11,Medellín,6.2518,-75.5636
2023-10-10,27.9,17.3,20.9,0.3,11.3,27598.79,Medellín,6.2518,-75.5636
2023-10-11,25.2,15.8,19.9,2.3,10.5,34879.8,Medellín,6.2518,-75.5636
2023-10-12,27.3,15.6,20.0,2.9,8.6,37929.3,Medellín,6.2518,-75.5636
2023-10-13,27.9,13.6,19.8,3.7,11.2,39258.75,Medellín,6.2518,-75.5636
